a	ə	[a:ə]
fetched	ˈfetʃt	ˈ[f:f|et:e|ch:tʃ|ed:t]
fetches	ˈfetʃɪz	ˈ[f:f|et:e].[ch:tʃ|e:ɪ|s:z]
fetching	ˈfetʃɪŋ	ˈ[f:f|et:e].[ch:tʃ|i:ɪ|ng:ŋ]
fete	ˈfeɪt	ˈ[f:f|e:eɪ|te:t]
feted	ˈfeɪtɪd	ˈ[f:f|e:eɪ].[t:t|e:ɪ|d:d]
fetherolf	ˈfeθəroʊlf	ˈ[f:f|e:e].[th:θ|er:ər].[o:oʊ|l:l|f:f]
fetherston	ˈfeθərstən	ˈ[f:f|e:e].[th:θ|er:ər].[s:s|t:t|o:ə|n:n]
fetid	ˈfetəd	ˈ[f:f|e:e].[t:t|i:ə|d:d]
fetish	ˈfetɪʃ	ˈ[f:f|e:e].[t:t|i:ɪ|sh:ʃ]
fetishism	ˈfetɪˌʃɪzəm	ˈ[f:f|e:e].[t:t|i:ɪ].ˌ[sh:ʃ|i:ɪ].[s:z|m:əm]
fetishist	ˈfetɪʃɪst	ˈ[f:f|e:e].[t:t|i:ɪ].[sh:ʃ|i:ɪ|s:s|t:t]
fetishists	ˈfetɪʃəsts	ˈ[f:f|e:e].[t:t|i:ɪ].[sh:ʃ|i:ə|s:s|t:t|s:s]
fetner	ˈfetnər	ˈ[f:f|e:e|t:t].[n:n|er:ər]
fetrow	ˈfetroʊ	ˈ[f:f|e:e].[t:t|r:r|ow:oʊ]
fetsch	ˈfetʃ	ˈ[f:f|ets:e|ch:tʃ]
fetsko	ˈfetskoʊ	ˈ[f:f|e:e|t:t].[s:s|k:k|o:oʊ]
fett	ˈfet	ˈ[f:f|e:e|tt:t]
fette	ˈfet	ˈ[f:f|e:e|tte:t]
fetter	ˈfetər	ˈ[f:f|e:e].[tt:t|er:ər]
fettered	ˈfetərd	ˈ[f:f|e:e].[tt:t|er:ər|ed:d]
fetterhoff	ˈfetərhɔːf	ˈ[f:f|e:e].[tt:t|er:ər].[h:h|o:ɔː|ff:f]
fetterly	ˈfetərliː	ˈ[f:f|e:e].[tt:t|er:ər].[l:l|y:iː]
fetterman	ˈfetərmən	ˈ[f:f|e:e].[tt:t|er:ər].[m:m|a:ə|n:n]
fetterolf	ˈfetəroʊlf	ˈ[f:f|e:e].[tt:t|er:ər].[o:oʊ|l:l|f:f]
fetters	ˈfetərz	ˈ[f:f|e:e].[tt:t|er:ər|s:z]
fettes	ˈfets	ˈ[f:f|e:e|tte:t|s:s]
fettig	ˈfetɪɡ	ˈ[f:f|e:e].[tt:t|i:ɪ|g:ɡ]
fetting	ˈfetɪŋ	ˈ[f:f|e:e].[tt:t|i:ɪ|ng:ŋ]
fettuccine	ˌfetəˈtʃiːniː	ˌ[f:f|e:e].[tt:t|u:ə].ˈ[cc:tʃ|i:iː].[n:n|e:iː]
fetty	ˈfetiː	ˈ[f:f|e:e].[tt:t|y:iː]
fetus	ˈfiːtəs	ˈ[f:f|e:iː].[t:t|u:ə|s:s]
fetuses	ˈfiːtəsɪz	ˈ[f:f|e:iː].[t:t|u:ə].[s:s|e:ɪ|s:z]
fetz	ˈfets	ˈ[f:f|e:e|t:t|z:s]
fetzer	ˈfetsər	ˈ[f:f|e:e|t:t].[z:s|er:ər]
feucht	ˈfɔɪkt	ˈ[f:f|eu:ɔɪ|ch:k|t:t]
feud	ˈfjuːd	ˈ[fe:f|u:juː|d:d]
feudal	ˈfjuːdəl	ˈ[fe:f|u:juː].[d:d|a:ə|l:l]
feudalism	ˈfjuːdəˌlɪzəm	ˈ[fe:f|u:juː].[d:d|a:ə].ˌ[l:l|i:ɪ].[s:z|m:əm]
feudalistic	ˌfjuːdəˈlɪstɪk	ˌ[fe:f|u:juː].[d:d|a:ə].ˈ[l:l|i:ɪ].[s:s|t:t|i:ɪ|c:k]
feuded	ˈfjuːdɪd	ˈ[fe:f|u:juː].[d:d|e:ɪ|d:d]
feuding	ˈfjuːdɪŋ	ˈ[fe:f|u:juː].[d:d|i:ɪ|ng:ŋ]
feuds	ˈfjuːdz	ˈ[fe:f|u:juː|d:d|s:z]
feuer	ˈfjuːər	ˈ[fe:f|u:juː].[er:ər]
feuerborn	ˈfɔɪərbərn	ˈ[f:f|eu:ɔɪ].[er:ər].[b:b|or:ər|n:n]
feuerman	ˈfjuːərmən	ˈ[fe:f|u:juː].[er:ər].[m:m|a:ə|n:n]
feuerstein	ˈfjuːərˌstiːn	ˈ[fe:f|u:juː].[er:ər].ˌ[s:s|te:t|i:iː|n:n]
feulner	ˈfɔɪlnər	ˈ[f:f|eu:ɔɪ|l:l].[n:n|er:ər]
feur	ˈfɜːr	ˈ[fe:f|ur:ɜːr]
feustel	ˈfɔɪstəl	ˈ[f:f|eu:ɔɪ].[s:s|t:t|e:ə|l:l]
feutz	ˈfjuːts	ˈ[fe:f|u:juː|t:t|z:s]
fever	ˈfiːvər	ˈ[f:f|e:iː].[v:v|er:ər]
fevered	ˈfiːvərd	ˈ[f:f|e:iː].[v:v|er:ər|ed:d]
feverfew	ˈfiːvərˌfjuː	ˈ[f:f|e:iː].[v:v|er:ər].ˌ[fe:f|w:juː]
feverfews	ˈfiːvərˌfjuːz	ˈ[f:f|e:iː].[v:v|er:ər].ˌ[fe:f|w:juː|s:z]
feverish	ˈfiːvərɪʃ	ˈ[f:f|e:iː].[v:v|er:ər].[i:ɪ|sh:ʃ]
feverishly	ˈfevərˌɪʃliː	ˈ[f:f|e:e].[v:v|er:ər].ˌ[i:ɪ|sh:ʃ].[l:l|y:iː]
fevers	ˈfiːvərz	ˈ[f:f|e:iː].[v:v|er:ər|s:z]
few	ˈfjuː	ˈ[fe:f|w:juː]
fewell	ˈfewel	ˈ[f:f|e:e].[w:w|e:e|ll:l]
fewer	ˈfjuːər	ˈ[fe:f|w:juː].[er:ər]
fewest	ˈfjuːəst	ˈ[fe:f|w:juː].[e:ə|s:s|t:t]
fey	ˈfeɪ	ˈ[f:f|ey:eɪ]
feyen	ˈfaɪn	ˈ[f:f|eye:aɪ|n:n]
feynman	ˈfeɪnmən	ˈ[f:f|ey:eɪ|n:n].[m:m|a:ə|n:n]
fez	ˈfez	ˈ[f:f|e:e|z:z]
fi	ˈfaɪ	ˈ[f:f|i:aɪ]
fiacco	fiːˈɑːkoʊ	[f:f|i:iː].ˈ[a:ɑː].[cc:k|o:oʊ]
fiala	fiːˈɑːlə	[f:f|i:iː].ˈ[a:ɑː].[l:l|a:ə]
fialkowski	fiːəlˈkɔːfskiː	[f:f|i:iː].[a:ə|l:l].ˈ[k:k|o:ɔː|w:f].[s:s|k:k|i:iː]
fiance	fiːˈɑːnˌseɪ	[f:f|i:iː].ˈ[a:ɑː|n:n].ˌ[c:s|e:eɪ]
fiancee	fiːˈænsiː	[f:f|i:iː].ˈ[a:æ|n:n].[c:s|ee:iː]
fianna	fiːˈænə	[f:f|i:iː].ˈ[a:æ].[nn:n|a:ə]
fiasco	fiːˈæskoʊ	[f:f|i:iː].ˈ[a:æ].[s:s|c:k|o:oʊ]
fiascos	fiːˈæskoʊz	[f:f|i:iː].ˈ[a:æ].[s:s|c:k|o:oʊ|s:z]
fiat	ˈfaɪæt	ˈ[f:f|i:aɪ].[a:æ|t:t]
fiat's	ˈfiːˌæts	ˈ[f:f|i:iː].ˌ[a:æ|t:t|'s:s]
fiato	fiːˈætoʊ	[f:f|i:iː].ˈ[a:æ].[t:t|o:oʊ]
fib	ˈfɪb	ˈ[f:f|i:ɪ|b:b]
fiber	ˈfaɪbər	ˈ[f:f|i:aɪ].[b:b|er:ər]
fiber's	ˈfaɪbərz	ˈ[f:f|i:aɪ].[b:b|er:ər|'s:z]
fiberboard	ˈfaɪbərˌbɔːrd	ˈ[f:f|i:aɪ].[b:b|er:ər].ˌ[b:b|oa:ɔː|r:r|d:d]
fiberglas	ˈfaɪbərˌɡlæs	ˈ[f:f|i:aɪ].[b:b|er:ər].ˌ[g:ɡ|l:l|a:æ|s:s]
fiberglass	ˈfaɪbərˌɡlæs	ˈ[f:f|i:aɪ].[b:b|er:ər].ˌ[g:ɡ|l:l|a:æ|ss:s]
fiberoptic	ˈfaɪbərˌɑːptɪk	ˈ[f:f|i:aɪ].[b:b|er:ər].ˌ[o:ɑː|p:p].[t:t|i:ɪ|c:k]
fibers	ˈfaɪbərz	ˈ[f:f|i:aɪ].[b:b|er:ər|s:z]
fiberweb	ˈfaɪbərˌweb	ˈ[f:f|i:aɪ].[b:b|er:ər].ˌ[w:w|e:e|b:b]
fibonacci	ˌfɪbəˈnɑːtʃiː	ˌ[f:f|i:ɪ].[b:b|o:ə].ˈ[n:n|a:ɑː].[cc:tʃ|i:iː]
fibre	ˈfaɪbər	ˈ[f:f|i:aɪ].[b:b|re:ər]
fibreboard	ˈfaɪbərˌbɔːrd	ˈ[f:f|i:aɪ].[b:b|re:ər].ˌ[b:b|oa:ɔː|r:r|d:d]
fibres	ˈfaɪbərz	ˈ[f:f|i:aɪ].[b:b|re:ər|s:z]
fibrile	ˈfaɪbrɪl	ˈ[f:f|i:aɪ].[b:b|r:r|i:ɪ|le:l]
fibriles	ˈfaɪbrɪlz	ˈ[f:f|i:aɪ].[b:b|r:r|i:ɪ|l:l|es:z]
fibrillation	ˌfɪbrɪˈleɪʃən	ˌ[f:f|i:ɪ].[b:b|r:r|i:ɪ].ˈ[ll:l|a:eɪ].[ti:ʃ|o:ə|n:n]
fibrin	ˈfaɪbrən	ˈ[f:f|i:aɪ].[b:b|r:r|i:ə|n:n]
fibroid	ˈfaɪbrɔɪd	ˈ[f:f|i:aɪ].[b:b|r:r|oi:ɔɪ|d:d]
fibroids	ˈfaɪbrɔɪdz	ˈ[f:f|i:aɪ].[b:b|r:r|oi:ɔɪ|d:d|s:z]
fibronic	fɪˈbrɑːnɪk	[f:f|i:ɪ].ˈ[b:b|r:r|o:ɑː].[n:n|i:ɪ|c:k]
fibronics	fɪˈbrɑːnɪks	[f:f|i:ɪ].ˈ[b:b|r:r|o:ɑː].[n:n|i:ɪ|c:k|s:s]
fibrosis	faɪˈbroʊsɪs	[f:f|i:aɪ].ˈ[b:b|r:r|o:oʊ].[s:s|i:ɪ|s:s]
fibrous	ˈfaɪbrəs	ˈ[f:f|i:aɪ].[b:b|r:r|ou:ə|s:s]
fibula	ˈfɪbjələ	ˈ[f:f|i:ɪ].[b:b|u:jə].[l:l|a:ə]
fica	ˈfaɪkə	ˈ[f:f|i:aɪ].[c:k|a:ə]
ficarra	fiːˈkɑːrə	[f:f|i:iː].ˈ[c:k|a:ɑː].[rr:r|a:ə]
ficco	ˈfɪkoʊ	ˈ[f:f|i:ɪ].[cc:k|o:oʊ]
ficek	ˈfɪsɪk	ˈ[f:f|i:ɪ].[c:s|e:ɪ|k:k]
fichera	fiːˈkerə	[f:f|i:iː].ˈ[ch:k|e:e].[r:r|a:ə]
fichtel	ˈfɪtʃˌtel	ˈ[f:f|i:ɪ|ch:tʃ].ˌ[t:t|e:e|l:l]
fichter	ˈfɪktər	ˈ[f:f|i:ɪ|ch:k].[t:t|er:ər]
fichtner	ˈfɪktnər	ˈ[f:f|i:ɪ|ch:k|t:t].[n:n|er:ər]
fichus	ˈfɪtʃəs	ˈ[f:f|i:ɪ].[ch:tʃ|u:ə|s:s]
ficials	ˈfɪʃəlz	ˈ[f:f|i:ɪ].[ci:ʃ|a:ə|l:l|s:z]
fick	ˈfɪk	ˈ[f:f|i:ɪ|ck:k]
ficke	ˈfɪk	ˈ[f:f|i:ɪ|cke:k]
fickel	ˈfɪkəl	ˈ[f:f|i:ɪ].[ck:k|e:ə|l:l]
ficken	ˈfɪkən	ˈ[f:f|i:ɪ].[ck:k|e:ə|n:n]
ficker	ˈfɪkər	ˈ[f:f|i:ɪ].[ck:k|er:ər]
fickes	ˈfɪks	ˈ[f:f|i:ɪ|cke:k|s:s]
fickett	ˈfɪkɪt	ˈ[f:f|i:ɪ].[ck:k|e:ɪ|tt:t]
fickle	ˈfɪkəl	ˈ[f:f|i:ɪ].[ck:k|le:əl]
fickleness	ˈfɪkəlnəs	ˈ[f:f|i:ɪ].[ck:k|le:əl].[n:n|e:ə|ss:s]
ficklin	ˈfɪklɪn	ˈ[f:f|i:ɪ].[ck:k|l:l|i:ɪ|n:n]
fickling	ˈfɪklɪŋ	ˈ[f:f|i:ɪ].[ck:k|l:l|i:ɪ|ng:ŋ]
fico	ˈfiːkoʊ	ˈ[f:f|i:iː].[c:k|o:oʊ]
ficom	ˈfɪkɑːm	ˈ[f:f|i:ɪ].[c:k|o:ɑː|m:m]
ficorca	fɪˈkɔːrkə	[f:f|i:ɪ].ˈ[c:k|o:ɔː|r:r].[c:k|a:ə]
fiction	ˈfɪkʃən	ˈ[f:f|i:ɪ|c:k].[ti:ʃ|o:ə|n:n]
fictional	ˈfɪkʃənəl	ˈ[f:f|i:ɪ|c:k].[ti:ʃ|o:ə].[n:n|a:ə|l:l]
fictionalize	ˈfɪkʃənəˌlaɪz	ˈ[f:f|i:ɪ|c:k].[ti:ʃ|o:ə].[n:n|a:ə].ˌ[l:l|i:aɪ|ze:z]
fictionalized	ˈfɪkʃənəˌlaɪzd	ˈ[f:f|i:ɪ|c:k].[ti:ʃ|o:ə].[n:n|a:ə].ˌ[l:l|i:aɪ|ze:z|d:d]
fictions	ˈfɪkʃənz	ˈ[f:f|i:ɪ|c:k].[ti:ʃ|o:ə|n:n|s:z]
fictitious	fɪkˈtɪʃəs	[f:f|i:ɪ|c:k].ˈ[t:t|i:ɪ].[ti:ʃ|ou:ə|s:s]
fidalgo	fiːˈdɑːlɡoʊ	[f:f|i:iː].ˈ[d:d|a:ɑː|l:l].[g:ɡ|o:oʊ]
fidata	fɪˈdɑːtə	[f:f|i:ɪ].ˈ[d:d|a:ɑː].[t:t|a:ə]
fidder	ˈfɪdər	ˈ[f:f|i:ɪ].[dd:d|er:ər]
fiddle	ˈfɪdəl	ˈ[f:f|i:ɪ].[dd:d|le:əl]
fiddled	ˈfɪdəld	ˈ[f:f|i:ɪ].[dd:d|l:əl|ed:d]
fiddler	ˈfɪdələr	ˈ[f:f|i:ɪ].[dd:d|l:əl].[er:ər]
fiddler's	ˈfɪdələrz	ˈ[f:f|i:ɪ].[dd:d|l:əl].[er:ər|'s:z]
fiddlers	ˈfɪdələrz	ˈ[f:f|i:ɪ].[dd:d|l:əl].[er:ər|s:z]
fiddles	ˈfɪdəlz	ˈ[f:f|i:ɪ].[dd:d|l:əl|es:z]
fiddling	ˈfɪdlɪŋ	ˈ[f:f|i:ɪ|dd:d].[l:l|i:ɪ|ng:ŋ]
fide	ˈfaɪd	ˈ[f:f|i:aɪ|de:d]
fidel	fɪˈdel	[f:f|i:ɪ].ˈ[d:d|e:e|l:l]
fidel's	fɪˈdelz	[f:f|i:ɪ].ˈ[d:d|e:e|l:l|'s:z]
fidelco	fɪˈdelkoʊ	[f:f|i:ɪ].ˈ[d:d|e:e|l:l].[c:k|o:oʊ]
fidelcor	ˈfɪdəlˌkɔːr	ˈ[f:f|i:ɪ].[d:d|e:ə|l:l].ˌ[c:k|o:ɔː|r:r]
fidelia	fɪˈdiːljə	[f:f|i:ɪ].ˈ[d:d|e:iː].[l:l|i:j|a:ə]
fidelities	fəˈdelətiːz	[f:f|i:ə].ˈ[d:d|e:e].[l:l|i:ə].[t:t|ie:iː|s:z]
fidelity	fəˈdelətiː	[f:f|i:ə].ˈ[d:d|e:e].[l:l|i:ə].[t:t|y:iː]
fidelity's	fəˈdelətiːz	[f:f|i:ə].ˈ[d:d|e:e].[l:l|i:ə].[t:t|y:iː|'s:z]
fidenas	ˈfɪdɪnəs	ˈ[f:f|i:ɪ].[d:d|e:ɪ].[n:n|a:ə|s:s]
fides	ˈfaɪdz	ˈ[f:f|i:aɪ|d:d|es:z]
fidget	ˈfɪdʒɪt	ˈ[f:f|i:ɪ].[dg:dʒ|e:ɪ|t:t]
fidgeting	ˈfɪdʒətɪŋ	ˈ[f:f|i:ɪ].[dg:dʒ|e:ə].[t:t|i:ɪ|ng:ŋ]
fidler	ˈfaɪdələr	ˈ[f:f|i:aɪ].[d:d|l:əl].[er:ər]
fido	ˈfaɪdoʊ	ˈ[f:f|i:aɪ].[d:d|o:oʊ]
fidora	fəˈdɔːrə	[f:f|i:ə].ˈ[d:d|o:ɔː].[r:r|a:ə]
fidora's	fəˈdɔːrəz	[f:f|i:ə].ˈ[d:d|o:ɔː].[r:r|a:ə|'s:z]
fiduciares	fɪˈduːsiːˌerz	[f:f|i:ɪ].ˈ[d:d|u:uː].[c:s|i:iː].ˌ[a:e|r:r|es:z]
fiduciaries	fɪˈduːʃiːˌeriːz	[f:f|i:ɪ].ˈ[d:d|u:uː].[ci:ʃ|a:iːe].[r:r|ie:iː|s:z]
fiduciary	fəˈduːʃiːˌeriː	[f:f|i:ə].ˈ[d:d|u:uː].[ci:ʃ|a:iːe].[r:r|y:iː]
fie	ˈfiː	ˈ[f:f|ie:iː]
fiebelkorn	ˈfiːbɪlkərn	ˈ[f:f|ie:iː].[b:b|e:ɪ|l:l].[k:k|or:ər|n:n]
fieber	ˈfiːbər	ˈ[f:f|ie:iː].[b:b|er:ər]
fiebig	ˈfiːbɪɡ	ˈ[f:f|ie:iː].[b:b|i:ɪ|g:ɡ]
fiebiger	ˈfiːbɪɡər	ˈ[f:f|ie:iː].[b:b|i:ɪ].[g:ɡ|er:ər]
fiechter	ˈfɪktər	ˈ[f:f|ie:ɪ|ch:k].[t:t|er:ər]
fiedler	ˈfiːdlər	ˈ[f:f|ie:iː|d:d].[l:l|er:ər]
fiedler's	ˈfiːdlərz	ˈ[f:f|ie:iː|d:d].[l:l|er:ər|'s:z]
fief	ˈfiːf	ˈ[f:f|ie:iː|f:f]
fiefdom	ˈfiːfdəm	ˈ[f:f|ie:iː|f:f].[d:d|o:ə|m:m]
fiefdoms	ˈfiːfdəmz	ˈ[f:f|ie:iː|f:f].[d:d|o:ə|m:m|s:z]
fiefs	ˈfiːfs	ˈ[f:f|ie:iː|f:f|s:s]
fiegel	ˈfiːɡəl	ˈ[f:f|ie:iː].[g:ɡ|e:ə|l:l]
fieger	ˈfiːɡər	ˈ[f:f|ie:iː].[g:ɡ|er:ər]
fieger's	ˈfiːɡərz	ˈ[f:f|ie:iː].[g:ɡ|er:ər|'s:z]
fiel	ˈfiːl	ˈ[f:f|ie:iː|l:l]
field	ˈfiːld	ˈ[f:f|ie:iː|l:l|d:d]
field's	ˈfiːldz	ˈ[f:f|ie:iː|l:l|d:d|'s:z]
fieldcrest	ˈfiːldˌkrest	ˈ[f:f|ie:iː|l:l|d:d].ˌ[c:k|r:r|e:e|s:s|t:t]
fielded	ˈfiːldɪd	ˈ[f:f|ie:iː|l:l].[d:d|e:ɪ|d:d]
fielden	ˈfiːldən	ˈ[f:f|ie:iː|l:l].[d:d|e:ə|n:n]
fielder	ˈfiːldər	ˈ[f:f|ie:iː|l:l].[d:d|er:ər]
fielder's	ˈfiːldərz	ˈ[f:f|ie:iː|l:l].[d:d|er:ər|'s:z]
fielders	ˈfiːldərz	ˈ[f:f|ie:iː|l:l].[d:d|er:ər|s:z]
fieldhouse	ˈfiːldˌhaʊs	ˈ[f:f|ie:iː|l:l|d:d].ˌ[h:h|ou:aʊ|se:s]
fielding	ˈfiːldɪŋ	ˈ[f:f|ie:iː|l:l].[d:d|i:ɪ|ng:ŋ]
fields	ˈfiːldz	ˈ[f:f|ie:iː|l:l|d:d|s:z]
fields'	ˈfiːldz	ˈ[f:f|ie:iː|l:l|d:d|s':z]
fieldwork	ˈfiːlˌdwɜːrk	ˈ[f:f|ie:iː|l:l].ˌ[d:d|w:w|or:ɜːr|k:k]
fiend	ˈfiːnd	ˈ[f:f|ie:iː|n:n|d:d]
fiendish	ˈfiːndɪʃ	ˈ[f:f|ie:iː|n:n].[d:d|i:ɪ|sh:ʃ]
fiends	ˈfiːndz	ˈ[f:f|ie:iː|n:n|d:d|s:z]
fiene	ˈfiːn	ˈ[f:f|ie:iː|ne:n]
fiennes	fiːˈenes	[f:f|i:iː].ˈ[e:e].[nn:n|e:e|s:s]
fier	ˈfɪr	ˈ[f:f|ie:ɪ|r:r]
fierce	ˈfɪrs	ˈ[f:f|ie:ɪ|r:r|ce:s]
fiercely	ˈfɪrsliː	ˈ[f:f|ie:ɪ|r:r].[ce:s|l:l|y:iː]
fiercer	ˈfɪrsər	ˈ[f:f|ie:ɪ|r:r].[c:s|er:ər]
fiercest	ˈfɪrsəst	ˈ[f:f|ie:ɪ|r:r].[c:s|e:ə|s:s|t:t]
fierman	ˈfɪrmən	ˈ[f:f|ie:ɪ|r:r].[m:m|a:ə|n:n]
fiero	ˈfiːroʊ	ˈ[f:f|ie:iː].[r:r|o:oʊ]
fieros	fiːˈeroʊs	[f:f|i:iː].ˈ[e:e].[r:r|o:oʊ|s:s]
fierro	ˈfɪroʊ	ˈ[f:f|ie:ɪ].[rr:r|o:oʊ]
fierros	ˈfɪroʊz	ˈ[f:f|ie:ɪ].[rr:r|o:oʊ|s:z]
fiers	ˈfiːrz	ˈ[f:f|ie:iː|r:r|s:z]
fierst	ˈfiːrst	ˈ[f:f|ie:iː|r:r|s:s|t:t]
fierstein	ˈfiːrˌstiːn	ˈ[f:f|ie:iː|r:r].ˌ[s:s|te:t|i:iː|n:n]
fiery	ˈfaɪəriː	ˈ[f:f|i:aɪ].[er:ər].[y:iː]
fieser	ˈfiːsər	ˈ[f:f|ie:iː].[s:s|er:ər]
fiest	ˈfiːɪst	ˈ[f:f|i:iː].[e:ɪ|s:s|t:t]
fiesta	fiːˈestə	[f:f|i:iː].ˈ[e:e].[s:s|t:t|a:ə]
fife	ˈfaɪf	ˈ[f:f|i:aɪ|fe:f]
fifer	ˈfaɪfər	ˈ[f:f|i:aɪ].[f:f|er:ər]
fifi	ˈfiːfiː	ˈ[f:f|i:iː].[f:f|i:iː]
fifield	ˈfɪfiːld	ˈ[f:f|i:ɪ].[f:f|ie:iː|l:l|d:d]
fiftee	ˈfɪftiː	ˈ[f:f|i:ɪ|f:f].[t:t|ee:iː]
fifteen	fɪfˈtiːn	[f:f|i:ɪ|f:f].ˈ[t:t|ee:iː|n:n]
fifteens	fɪfˈtiːnz	[f:f|i:ɪ|f:f].ˈ[t:t|ee:iː|n:n|s:z]
fifteenth	fɪfˈtiːnθ	[f:f|i:ɪ|f:f].ˈ[t:t|ee:iː|n:n|th:θ]
fifth	ˈfɪfθ	ˈ[f:f|i:ɪ|f:f|th:θ]
fifths	ˈfɪfθs	ˈ[f:f|i:ɪ|f:f|th:θ|s:s]
fifties	ˈfɪftiːz	ˈ[f:f|i:ɪ|f:f].[t:t|ie:iː|s:z]
fiftieth	ˈfɪftiːɪθ	ˈ[f:f|i:ɪ|f:f].[t:t|i:iː].[e:ɪ|th:θ]
fifty	ˈfɪftiː	ˈ[f:f|i:ɪ|f:f].[t:t|y:iː]
fifty's	ˈfɪftiːz	ˈ[f:f|i:ɪ|f:f].[t:t|y:iː|'s:z]
fig	ˈfɪɡ	ˈ[f:f|i:ɪ|g:ɡ]
figallo	fɪˈɡɑːloʊ	[f:f|i:ɪ].ˈ[g:ɡ|a:ɑː].[ll:l|o:oʊ]
figaro	ˈfɪɡərˌoʊ	ˈ[f:f|i:ɪ].[g:ɡ|ar:ər].ˌ[o:oʊ]
figaroa	ˌfɪɡərˈoʊə	ˌ[f:f|i:ɪ].[g:ɡ|ar:ər].ˈ[o:oʊ].[a:ə]
figaroa's	ˌfɪɡərˈoʊəz	ˌ[f:f|i:ɪ].[g:ɡ|ar:ər].ˈ[o:oʊ].[a:ə|'s:z]
figel	ˈfɪɡəl	ˈ[f:f|i:ɪ].[g:ɡ|e:ə|l:l]
figg	ˈfɪɡ	ˈ[f:f|i:ɪ|gg:ɡ]
figge	ˈfɪɡ	ˈ[f:f|i:ɪ|gge:ɡ]
figgie	ˈfɪɡiː	ˈ[f:f|i:ɪ].[gg:ɡ|ie:iː]
figgie's	ˈfɪɡiːz	ˈ[f:f|i:ɪ].[gg:ɡ|ie:iː|'s:z]
figgins	ˈfɪɡɪnz	ˈ[f:f|i:ɪ].[gg:ɡ|i:ɪ|n:n|s:z]
figgs	ˈfɪɡz	ˈ[f:f|i:ɪ|gg:ɡ|s:z]
fight	ˈfaɪt	ˈ[f:f|ig:aɪ|ht:t]
fight's	ˈfaɪtz	ˈ[f:f|ig:aɪ|ht:t|'s:z]
fighter	ˈfaɪtər	ˈ[f:f|ig:aɪ].[ht:t|er:ər]
fighter's	ˈfaɪtərz	ˈ[f:f|ig:aɪ].[ht:t|er:ər|'s:z]
fighters	ˈfaɪtərz	ˈ[f:f|ig:aɪ].[ht:t|er:ər|s:z]
fighters'	ˈfaɪtərz	ˈ[f:f|ig:aɪ].[ht:t|er:ər|s':z]
fightin'	ˈfaɪtɪn	ˈ[f:f|ig:aɪ].[ht:t|i:ɪ|n':n]
fighting	ˈfaɪtɪŋ	ˈ[f:f|ig:aɪ].[ht:t|i:ɪ|ng:ŋ]
fighting's	ˈfaɪtɪŋz	ˈ[f:f|ig:aɪ].[ht:t|i:ɪ|ng:ŋ|'s:z]
fightings	ˈfaɪtɪŋz	ˈ[f:f|ig:aɪ].[ht:t|i:ɪ|ng:ŋ|s:z]
fightmaster	ˈfaɪtˌmæstər	ˈ[f:f|ig:aɪ|ht:t].ˌ[m:m|a:æ].[s:s|t:t|er:ər]
fights	ˈfaɪts	ˈ[f:f|ig:aɪ|ht:t|s:s]
figler	ˈfaɪɡələr	ˈ[f:f|i:aɪ].[g:ɡ|l:əl].[er:ər]
figley	ˈfɪɡliː	ˈ[f:f|i:ɪ].[g:ɡ|l:l|ey:iː]
figment	ˈfɪɡmɪnt	ˈ[f:f|i:ɪ|g:ɡ].[m:m|e:ɪ|n:n|t:t]
figments	ˈfɪɡmɪnts	ˈ[f:f|i:ɪ|g:ɡ].[m:m|e:ɪ|n:n|t:t|s:s]
figone	ˈfɪɡən	ˈ[f:f|i:ɪ].[g:ɡ|o:ə|ne:n]
figs	ˈfɪɡz	ˈ[f:f|i:ɪ|g:ɡ|s:z]
figueira	fiːˈɡerə	[f:f|i:iː].ˈ[gu:ɡ|e:e].[ir:r|a:ə]
figueiredo	fiːɡərˈeɪdoʊ	[f:f|i:iː].[gue:ɡ|ir:ər].ˈ[e:eɪ].[d:d|o:oʊ]
figueras	fiːˈɡerɑːz	[f:f|i:iː].ˈ[gu:ɡ|e:e].[r:r|a:ɑː|s:z]
figueredo	fiːɡeˈreɪdoʊ	[f:f|i:iː].[gu:ɡ|e:e].ˈ[r:r|e:eɪ].[d:d|o:oʊ]
figueroa	fiːɡeˈroʊə	[f:f|i:iː].[gu:ɡ|e:e].ˈ[r:r|o:oʊ].[a:ə]
figura	fiːˈɡʊrə	[f:f|i:iː].ˈ[g:ɡ|u:ʊ].[r:r|a:ə]
figuration	ˌfɪɡjərˈeɪʃən	ˌ[f:f|i:ɪ].[g:ɡj|ur:ər].ˈ[a:eɪ].[ti:ʃ|o:ə|n:n]
figurative	ˈfɪɡjərətɪv	ˈ[f:f|i:ɪ].[g:ɡj|ur:ər].[a:ə].[t:t|i:ɪ|ve:v]
figuratively	fɪˈɡjʊrətɪvliː	[f:f|i:ɪ].ˈ[g:ɡ|u:jʊ].[r:r|a:ə].[t:t|i:ɪ|ve:v].[l:l|y:iː]
figure	ˈfɪɡjər	ˈ[f:f|i:ɪ].[g:ɡj|ure:ər]
figure's	ˈfɪɡjərz	ˈ[f:f|i:ɪ].[g:ɡj|ure:ər|'s:z]
figured	ˈfɪɡjərd	ˈ[f:f|i:ɪ].[g:ɡj|ur:ər|ed:d]
figurehead	ˈfɪɡjərˌhed	ˈ[f:f|i:ɪ].[g:ɡj|ure:ər].ˌ[h:h|ea:e|d:d]
